All Players   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Paul DeJong 3B | NYY ,398,57,103,58,20,0,25,64,28,143,6,1,.259,.317,.497,300
W ,Jesus Sanchez OF | TOR,418,67,107,65,22,3,17,57,47,104,14,3,.256,.336,.445,301
W ,Victor Scott II OF | STL ,449,62,103,71,18,4,10,47,45,131,35,6,.229,.310,.354,302
W ,Carson Williams SS | TB ,465,65,119,79,23,2,15,61,36,122,15,5,.256,.313,.411,303
W ,Connor Norby 3B | MIA ,490,67,127,80,27,2,18,58,34,145,11,4,.259,.314,.433,304
W ,Tyler O'Neill OF | BAL,405,64,95,52,16,2,25,61,49,135,8,1,.235,.325,.469,305
W ,Brandon Marsh OF | PHI,441,64,119,75,26,3,15,57,44,138,12,3,.270,.335,.444,306
W ,Brooks Baldwin OF | CHW ,450,56,121,69,26,6,20,62,36,129,8,1,.269,.325,.487,307
W ,Wenceel Perez OF | DET ,443,64,115,71,25,3,16,60,41,116,12,4,.260,.324,.438,308
W ,Jung Hoo Lee OF | SF ,477,69,136,87,29,9,11,56,39,77,10,3,.285,.344,.453,309
W ,Nolan Arenado 3B | ARI ,496,68,127,84,22,2,19,72,41,78,3,1,.256,.315,.423,310
W ,Austin Hays OF | CHW ,458,64,116,73,20,4,19,65,31,126,8,1,.253,.305,.439,311
W ,"Miguel Vargas 1B,3B | CHW",456,72,117,67,28,4,18,60,46,99,6,1,.257,.331,.454,312
W ,Jorge Mateo OF | ATL,393,52,93,56,22,3,12,42,33,108,33,6,.237,.297,.400,313
W ,Jake Meyers OF | HOU,435,64,126,92,22,3,9,42,42,93,18,4,.290,.355,.416,314
W ,Mike Tauchman OF | NYM ,423,70,120,78,24,3,15,56,56,106,4,1,.284,.374,.461,315
W ,Dominic Canzone OF | SEA ,441,57,126,84,24,1,17,55,37,104,7,3,.286,.348,.460,316
W ,Pavin Smith 1B | ARI ,435,64,117,68,29,2,18,62,61,137,4,3,.269,.357,.469,317
W ,"Dylan Moore 2B,OF | PHI ",318,52,83,47,19,4,13,45,30,86,23,6,.261,.332,.469,318
W ,Matt Wallner OF | MIN ,427,57,102,46,24,5,27,57,51,147,6,3,.239,.333,.508,319
W ,Jake Burger 1B | TEX,390,56,101,57,19,1,24,65,20,107,1,1,.259,.306,.497,320
W ,TJ Rumfield 1B | COL ,456,60,120,76,24,2,18,67,43,120,4,1,.263,.334,.443,321
W ,Carlos Santana 1B | ARI ,420,64,107,76,15,0,16,67,54,98,6,1,.255,.344,.405,322
W ,"Victor Robles OF | SEA ",385,49,106,69,26,3,8,37,30,85,29,8,.275,.342,.421,323
W ,Nathan Lukes OF | TOR,455,65,118,76,24,4,14,71,43,88,5,3,.259,.318,.422,324
W ,"Colt Keith 2B,3B | DET",476,67,129,87,23,3,16,58,47,119,4,2,.271,.339,.433,325
W ,Andres Gimenez 2B | TOR,473,62,113,82,18,2,11,59,30,96,20,3,.239,.300,.355,326
W ,Nate Lowe 1B | CIN ,462,61,114,72,19,3,20,76,62,149,1,0,.247,.337,.431,327
W ,Masyn Winn SS | STL,491,72,131,87,28,4,12,52,32,106,9,5,.267,.316,.413,329
W ,Hye Seong Kim 2B | LAD ,388,51,109,77,20,2,10,48,28,93,19,4,.281,.333,.420,330
W ,Lane Thomas OF | KC ,420,53,100,62,20,3,15,55,40,117,20,9,.238,.311,.407,331
W ,"Ryan O'Hearn 1B,OF | PIT",467,60,130,89,23,3,15,61,58,105,4,1,.278,.363,.437,332
W ,Isaac Collins OF | KC ,417,55,110,69,24,4,13,52,50,103,16,6,.264,.349,.434,333
W ,"Josh H. Smith 1B,3B,SS | TEX ",476,69,128,87,26,3,12,46,48,107,12,3,.269,.348,.412,334
W ,Jake Fraley OF | TB,403,58,112,76,23,2,11,45,41,88,16,6,.278,.347,.427,335
W ,"Miguel Andujar 3B,OF | SD",404,53,127,90,24,2,11,58,24,63,4,1,.314,.356,.465,336
W ,Will Benson OF | CIN,388,56,95,54,17,4,20,65,29,114,6,3,.245,.296,.464,337
W ,Nolan Schanuel 1B | LAA,487,65,129,86,27,1,15,60,54,94,5,1,.265,.345,.417,338
W ,Josh Jung 3B | TEX ,493,56,129,85,25,2,17,64,30,137,6,1,.262,.308,.424,339
W ,Liover Peguero SS | PHI ,388,56,102,68,18,2,14,51,30,97,14,3,.263,.323,.428,341
W ,"Ernie Clement 2B,3B,SS | TOR",483,74,133,90,28,4,11,51,27,72,6,4,.275,.317,.418,342
W ,Luis Matos OF | SF,403,58,105,64,21,4,16,52,35,94,11,2,.261,.322,.452,343
W ,Trevor Larnach OF | MIN ,449,60,115,73,22,1,19,61,50,118,4,2,.256,.332,.436,345
W ,Harrison Bader OF | SF ,408,60,112,76,22,1,13,48,32,117,11,8,.275,.336,.429,346
W ,Gavin Sheets OF | SD ,382,52,106,63,25,1,17,60,33,88,4,1,.278,.340,.482,348
W ,Kyle Karros 3B | COL ,465,71,122,88,20,2,12,57,49,123,6,1,.262,.339,.391,349
W ,Adrian Del Castillo DH | ARI ,419,50,112,68,24,1,19,64,39,128,3,2,.267,.333,.465,350
W ,Tyler Freeman OF | COL ,416,61,117,87,21,4,5,40,49,73,20,7,.281,.374,.387,351
W ,"Lenyn Sosa 1B,2B | CHW",402,49,112,75,17,2,18,58,18,99,4,1,.279,.315,.465,352
W ,Yoan Moncada 3B | LAA,421,65,106,57,25,5,19,56,45,119,3,1,.252,.335,.470,353
W ,Jose Miranda 3B | SD ,430,52,130,88,25,5,12,58,22,80,3,0,.302,.341,.467,354
W ,Zack Gelof 2B | ATH ,425,60,98,63,18,2,15,48,31,158,18,5,.231,.285,.388,356
W ,"Luke Raley 1B,OF | SEA",370,54,96,58,19,3,16,54,31,106,8,2,.260,.340,.457,357
W ,Richard Palacios OF | TB ,300,58,85,60,14,2,9,33,40,67,18,2,.283,.365,.433,358
W ,"Zach McKinstry 3B,SS,OF | DET",433,60,107,65,24,7,11,47,42,109,17,3,.247,.320,.411,359
W ,"Luis Rengifo 2B,3B | MIL",416,55,116,87,18,3,8,46,27,73,15,7,.279,.326,.394,360
W ,Gavin Lux OF | TB ,471,60,133,91,30,2,10,61,52,113,3,1,.282,.354,.418,361
W ,Parker Meadows OF | DET ,433,60,108,69,19,6,14,46,42,122,13,3,.249,.317,.418,362
W ,Esteury Ruiz OF | MIA ,387,52,96,61,19,3,13,47,33,106,17,5,.248,.310,.413,363
W ,Heriberto Hernandez OF | MIA,381,54,99,63,19,2,15,59,38,118,6,3,.260,.331,.438,364
W ,Jacob Melton OF | TB ,379,49,96,64,16,5,11,52,35,103,17,4,.253,.324,.409,365
W ,Jake Mangum OF | PIT,384,41,110,81,20,2,7,41,28,78,22,4,.286,.338,.404,366
